keyword_pattern,template_id,generation_source,risk_level,priority_hint,score,customer_type,role,geo,intent,org_form,source_modifier,trigger_event,review_status
ghost kitchen operator Australia contact,T1,generator,low,high,,ghost kitchen operator,,Australia,contact,,,,pending
hotel housekeeping supplier Australia contact,T1,generator,low,high,,hotel housekeeping supplier,,Australia,contact,,,,pending
restaurant furniture supplier Australia contact,T1,generator,low,high,,restaurant furniture supplier,,Australia,contact,,,,pending
commercial kitchen supplier Australia contact,T1,generator,low,high,,commercial kitchen supplier,,Australia,contact,,,,pending
hospitality technology supplier Australia contact,T1,generator,low,high,,hospitality technology supplier,,Australia,contact,,,,pending
new restaurant opening owner Australia,T2,generator,medium,high,,new restaurant opening,owner,Australia,,,,,pending
restaurant supply chain owner Australia,T2,generator,medium,high,,restaurant supply chain,owner,Australia,,,,,pending
ghost kitchen operator owner Australia,T2,generator,medium,high,,ghost kitchen operator,owner,Australia,,,,,pending
hotel housekeeping supplier owner Australia,T2,generator,medium,high,,hotel housekeeping supplier,owner,Australia,,,,,pending
restaurant equipment supplier owner Australia,T2,generator,medium,high,,restaurant equipment supplier,owner,Australia,,,,,pending
group cafe chain head office Australia,T3,generator,low,medium,,cafe chain,,Australia,,group,,,pending
group food court operator head office Australia,T3,generator,low,medium,,food court operator,,Australia,,group,,,pending
"""owner"" ""restaurant fit-out company"" Australia",T4,generator,medium,high,,restaurant fit-out company,owner,Australia,,,,,pending
"""owner"" ""restaurant design company"" Australia",T4,generator,medium,high,,restaurant design company,owner,Australia,,,,,pending
"""owner"" ""multi-location restaurant"" Australia",T4,generator,medium,high,,multi-location restaurant,owner,Australia,,,,,pending
"""owner"" ""hospitality venue group"" Australia",T4,generator,medium,high,,hospitality venue group,owner,Australia,,,,,pending
"""owner"" ""hotel procurement manager"" Australia",T4,generator,medium,high,,hotel procurement manager,owner,Australia,,,,,pending
site:.com.au hotel F&B manager contact Australia,T5,generator,medium,medium,,hotel F&B manager,,Australia,contact,,site:.com.au,,pending
site:.com.au pub group contact Australia,T5,generator,medium,medium,,pub group,,Australia,contact,,site:.com.au,,pending
filetype:pdf hotel F&B manager procurement Australia,T6,generator,low,low,,hotel F&B manager,,Australia,,,,,pending
filetype:pdf pub group procurement Australia,T6,generator,low,low,,pub group,,Australia,,,,,pending
"""new opening"" restaurant renovation Australia",T7,generator,medium,high,,restaurant renovation,,Australia,,,,new opening,pending
"""new opening"" restaurant fit-out company Australia",T7,generator,medium,high,,restaurant fit-out company,,Australia,,,,new opening,pending
"""new opening"" restaurant design company Australia",T7,generator,medium,high,,restaurant design company,,Australia,,,,new opening,pending
"""new opening"" multi-location restaurant Australia",T7,generator,medium,high,,multi-location restaurant,,Australia,,,,new opening,pending
"""new opening"" hospitality venue group Australia",T7,generator,medium,high,,hospitality venue group,,Australia,,,,new opening,pending
hotel F&B manager Australia new opening contact,T8,generator,medium,medium,,hotel F&B manager,,Australia,contact,,,new opening,pending
pub group Australia new opening contact,T8,generator,medium,medium,,pub group,,Australia,contact,,,new opening,pending
owner restaurant renovation Australia email OR phone OR contact,T9,generator,medium,high,,restaurant renovation,owner,Australia,,,,,pending
owner restaurant fit-out company Australia email OR phone OR contact,T9,generator,medium,high,,restaurant fit-out company,owner,Australia,,,,,pending
owner restaurant design company Australia email OR phone OR contact,T9,generator,medium,high,,restaurant design company,owner,Australia,,,,,pending
owner multi-location restaurant Australia email OR phone OR contact,T9,generator,medium,high,,multi-location restaurant,owner,Australia,,,,,pending
owner new restaurant opening Australia email OR phone OR contact,T9,generator,medium,high,,new restaurant opening,owner,Australia,,,,,pending
"brewery venue Australia ""contact"" -jobs -careers",T10,generator,low,medium,,brewery venue,,Australia,contact,,,,pending
"catering company Australia ""contact"" -jobs -careers",T10,generator,low,medium,,catering company,,Australia,contact,,,,pending
restaurant renovation Australia supplier contact,T11,generator,low,high,,restaurant renovation,,Australia,,,,,pending
restaurant fit-out company Australia supplier contact,T11,generator,low,high,,restaurant fit-out company,,Australia,,,,,pending
restaurant design company Australia supplier contact,T11,generator,low,high,,restaurant design company,,Australia,,,,,pending
multi-location restaurant Australia supplier contact,T11,generator,low,high,,multi-location restaurant,,Australia,,,,,pending
hospitality venue group Australia supplier contact,T11,generator,low,high,,hospitality venue group,,Australia,,,,,pending
restaurant renovation Australia procurement team,T12,generator,low,high,,restaurant renovation,,Australia,,,,,pending
restaurant fit-out company Australia procurement team,T12,generator,low,high,,restaurant fit-out company,,Australia,,,,,pending
restaurant design company Australia procurement team,T12,generator,low,high,,restaurant design company,,Australia,,,,,pending
multi-location restaurant Australia procurement team,T12,generator,low,high,,multi-location restaurant,,Australia,,,,,pending
hospitality venue group Australia procurement team,T12,generator,low,high,,hospitality venue group,,Australia,,,,,pending
restaurant renovation Australia purchasing department email,T13,generator,low,high,,restaurant renovation,,Australia,,,,,pending
restaurant fit-out company Australia purchasing department email,T13,generator,low,high,,restaurant fit-out company,,Australia,,,,,pending
restaurant design company Australia purchasing department email,T13,generator,low,high,,restaurant design company,,Australia,,,,,pending
