"queue_rank","priority_score","gap_labels","review_segment","lead_id","company_name","customer_type","city_or_region","website","contact_data_level","primary_contact_method","contact_priority","recommended_action","official_contact_query","site_contact_query","form_query","kp_query","site_kp_query","public_linkedin_query","source_link"
"1","105","missing_form; missing_kp_direct","Restaurant/Hotel Final Customer","LEAD-0166","H&J Restaurants","餐厅集团","Melbourne","https://www.hjrestaurants.com.au/","已识别关键人","公司邮箱","中","Search direct KP email, phone, or public personal profile; keep confidence notes.","""H&J Restaurants"" Australia official contact","site:hjrestaurants.com.au contact OR enquiry OR suppliers","""H&J Restaurants"" Australia contact form OR enquiry OR suppliers","""H&J Restaurants"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:hjrestaurants.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""H&J Restaurants"" Australia director OR operations OR procurement","https://www.hjrestaurants.com.au/contact"
"2","95","missing_kp_direct","Restaurant/Hotel Final Customer","LEAD-0165","Alleyway Group","多门店餐厅","Melbourne / Sydney / Brisbane","https://www.alleywaygroup.com.au/","已识别关键人","联系表单","中","Search direct KP email, phone, or public personal profile; keep confidence notes.","""Alleyway Group"" Australia official contact","site:alleywaygroup.com.au contact OR enquiry OR suppliers","""Alleyway Group"" Australia contact form OR enquiry OR suppliers","""Alleyway Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:alleywaygroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Alleyway Group"" Australia director OR operations OR procurement","https://www.alleywaygroup.com.au/"
"3","95","missing_kp_direct","Restaurant/Hotel Final Customer","LEAD-0172","Australian Venue Co.","餐厅集团/含餐饮空间的活动场地","Australia-wide","https://www.ausvenueco.com.au/","已识别关键人","公司邮箱","中","Search direct KP email, phone, or public personal profile; keep confidence notes.","""Australian Venue Co."" Australia official contact","site:ausvenueco.com.au contact OR enquiry OR suppliers","""Australian Venue Co."" Australia contact form OR enquiry OR suppliers","""Australian Venue Co."" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:ausvenueco.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Australian Venue Co."" Australia director OR operations OR procurement","https://www.ausvenueco.com.au/contact/"
"4","95","missing_kp_direct","Restaurant/Hotel Final Customer","LEAD-0181","Crystalbrook Collection","酒店集团","Sydney / Brisbane / Cairns / Byron Bay / Newcastle","https://www.crystalbrookcollection.com/","已识别关键人","公司邮箱","中","Search direct KP email, phone, or public personal profile; keep confidence notes.","""Crystalbrook Collection"" Australia official contact","site:crystalbrookcollection.com contact OR enquiry OR suppliers","""Crystalbrook Collection"" Australia contact form OR enquiry OR suppliers","""Crystalbrook Collection"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:crystalbrookcollection.com team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Crystalbrook Collection"" Australia director OR operations OR procurement","https://www.crystalbrookcollection.com/contact-us"
"5","95","missing_kp_direct","Restaurant/Hotel Final Customer","LEAD-0187","Lancemore Hotels","酒店集团","Victoria / Queensland","https://lancemore.com.au/","仅公司级联系","公司邮箱","中","Search direct KP email, phone, or public personal profile; keep confidence notes.","""Lancemore Hotels"" Australia official contact","site:lancemore.com.au contact OR enquiry OR suppliers","""Lancemore Hotels"" Australia contact form OR enquiry OR suppliers","""Lancemore Hotels"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:lancemore.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Lancemore Hotels"" Australia director OR operations OR procurement","https://lancemore.com.au/about-us/"
"6","95","missing_kp_direct","Restaurant/Hotel Final Customer","LEAD-0193","Meriton Suites","酒店集团","Sydney / Brisbane / Gold Coast / Melbourne / Canberra","https://www.meritonsuites.com.au/","仅公司级联系","公司电话","中","Search direct KP email, phone, or public personal profile; keep confidence notes.","""Meriton Suites"" Australia official contact","site:meritonsuites.com.au contact OR enquiry OR suppliers","""Meriton Suites"" Australia contact form OR enquiry OR suppliers","""Meriton Suites"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:meritonsuites.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Meriton Suites"" Australia director OR operations OR procurement","https://www.meritonsuites.com.au/"
"7","95","missing_kp_direct","Restaurant/Hotel Final Customer","LEAD-0194","Ovolo Hotels Australia","酒店集团","Sydney / Brisbane / Canberra / Melbourne","https://ovolohotels.com/","仅公司级联系","联系表单","中","Search direct KP email, phone, or public personal profile; keep confidence notes.","""Ovolo Hotels Australia"" Australia official contact","site:ovolohotels.com contact OR enquiry OR suppliers","""Ovolo Hotels Australia"" Australia contact form OR enquiry OR suppliers","""Ovolo Hotels Australia"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:ovolohotels.com team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Ovolo Hotels Australia"" Australia director OR operations OR procurement","https://ovolohotels.com/"
"8","95","missing_kp_direct","Restaurant/Hotel Final Customer","LEAD-0176","Trader House","餐厅集团","Melbourne / Brisbane","https://www.traderhouse.com.au/","已识别关键人","联系表单","中","Search direct KP email, phone, or public personal profile; keep confidence notes.","""Trader House"" Australia official contact","site:traderhouse.com.au contact OR enquiry OR suppliers","""Trader House"" Australia contact form OR enquiry OR suppliers","""Trader House"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:traderhouse.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Trader House"" Australia director OR operations OR procurement","https://www.traderhouse.com.au/about"
"9","85","missing_kp","Restaurant/Hotel Final Customer","LEAD-0180","AB Hotels","酒店集团/酒店餐饮集团","Sydney","https://www.abhotels.com.au/","仅公司级联系","联系表单","中","Search owner/founder/director/operations/F&B/procurement KP evidence.","""AB Hotels"" Australia official contact","site:abhotels.com.au contact OR enquiry OR suppliers","""AB Hotels"" Australia contact form OR enquiry OR suppliers","""AB Hotels"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:abhotels.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""AB Hotels"" Australia director OR operations OR procurement","https://www.abhotels.com.au/contact"
"10","85","missing_kp","Restaurant/Hotel Final Customer","LEAD-0120","ALH Group","酒店/酒店餐饮集团","Australia-wide","https://www.alhgroup.com.au/","仅公司级联系","公司邮箱","中","Search owner/founder/director/operations/F&B/procurement KP evidence.","""ALH Group"" Australia official contact","site:alhgroup.com.au contact OR enquiry OR suppliers","""ALH Group"" Australia contact form OR enquiry OR suppliers","""ALH Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:alhgroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""ALH Group"" Australia director OR operations OR procurement","https://www.alhgroup.com.au/contact"
"11","85","missing_kp","Restaurant/Hotel Final Customer","LEAD-0119","Signature Hospitality Group","餐厅集团","Melbourne / Australia-wide","https://www.signaturehospitalitygroup.com.au/","仅公司级联系","公司联系页","中","Search owner/founder/director/operations/F&B/procurement KP evidence.","""Signature Hospitality Group"" Australia official contact","site:signaturehospitalitygroup.com.au contact OR enquiry OR suppliers","""Signature Hospitality Group"" Australia contact form OR enquiry OR suppliers","""Signature Hospitality Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:signaturehospitalitygroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Signature Hospitality Group"" Australia director OR operations OR procurement","https://www.signaturehospitalitygroup.com.au/contact/"
"12","80","missing_form","Restaurant/Hotel Final Customer","LEAD-0117","Bentley Restaurant Group","餐厅集团","Sydney","https://www.bentleyrestaurantgroup.com.au/","已识别关键人","公司邮箱","中","Find official enquiry/contact/supplier form as secondary route.","""Bentley Restaurant Group"" Australia official contact","site:bentleyrestaurantgroup.com.au contact OR enquiry OR suppliers","""Bentley Restaurant Group"" Australia contact form OR enquiry OR suppliers","""Bentley Restaurant Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:bentleyrestaurantgroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Bentley Restaurant Group"" Australia director OR operations OR procurement","https://www.bentleyrestaurantgroup.com.au/contact"
"13","80","missing_form","Restaurant/Hotel Final Customer","LEAD-0118","Gambaro Group","餐厅集团/含餐饮空间的活动场地","Brisbane","https://gambarogroup.com.au/","已找到关键人直联","关键人邮箱候选","中","Find official enquiry/contact/supplier form as secondary route.","""Gambaro Group"" Australia official contact","site:gambarogroup.com.au contact OR enquiry OR suppliers","""Gambaro Group"" Australia contact form OR enquiry OR suppliers","""Gambaro Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:gambarogroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Gambaro Group"" Australia director OR operations OR procurement","https://gambarogroup.com.au/contact/"
"14","75","missing_form; missing_kp_direct","Restaurant/Hotel Final Customer","AU-0203","ahs hospitality","Final Customer","","https://ahshospitality.com.au","","","","Search direct KP email, phone, or public personal profile; keep confidence notes.","""ahs hospitality"" Australia official contact","site:ahshospitality.com.au contact OR enquiry OR suppliers","""ahs hospitality"" Australia contact form OR enquiry OR suppliers","""ahs hospitality"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:ahshospitality.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""ahs hospitality"" Australia director OR operations OR procurement",""
"15","75","missing_form; missing_kp_direct","Restaurant/Hotel Final Customer","AU-0221","Bay 13 Brewery & Kitchen","Final Customer","","https://bay13brewery.com","","","","Search direct KP email, phone, or public personal profile; keep confidence notes.","""Bay 13 Brewery & Kitchen"" Australia official contact","site:bay13brewery.com contact OR enquiry OR suppliers","""Bay 13 Brewery & Kitchen"" Australia contact form OR enquiry OR suppliers","""Bay 13 Brewery & Kitchen"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:bay13brewery.com team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Bay 13 Brewery & Kitchen"" Australia director OR operations OR procurement",""
"16","75","missing_form; missing_kp_direct","Restaurant/Hotel Final Customer","AU-0202","Blanco Horner Hospitality","Final Customer","","https://blancohorner.com.au","","","","Search direct KP email, phone, or public personal profile; keep confidence notes.","""Blanco Horner Hospitality"" Australia official contact","site:blancohorner.com.au contact OR enquiry OR suppliers","""Blanco Horner Hospitality"" Australia contact form OR enquiry OR suppliers","""Blanco Horner Hospitality"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:blancohorner.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Blanco Horner Hospitality"" Australia director OR operations OR procurement",""
"17","75","missing_form; missing_kp_direct","Restaurant/Hotel Final Customer","AU-0196","Tao Restaurant Group","Final Customer","","https://taogroup.com.au","","","","Search direct KP email, phone, or public personal profile; keep confidence notes.","""Tao Restaurant Group"" Australia official contact","site:taogroup.com.au contact OR enquiry OR suppliers","""Tao Restaurant Group"" Australia contact form OR enquiry OR suppliers","""Tao Restaurant Group"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:taogroup.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""Tao Restaurant Group"" Australia director OR operations OR procurement",""
"18","65","missing_form; missing_kp","Restaurant/Hotel Final Customer","AU-0450","About Us | Regional Motel Partners","Final Customer","","https://motelpartners.com.au","","","","Search owner/founder/director/operations/F&B/procurement KP evidence.","""About Us | Regional Motel Partners"" Australia official contact","site:motelpartners.com.au contact OR enquiry OR suppliers","""About Us | Regional Motel Partners"" Australia contact form OR enquiry OR suppliers","""About Us | Regional Motel Partners"" Australia owner OR founder OR director OR operations OR procurement OR ""food and beverage""","site:motelpartners.com.au team OR people OR leadership OR director OR founder","site:linkedin.com/in ""About Us | Regional Motel Partners"" Australia director OR operations OR procurement","https://www.motelpartners.com.au/about-us"
